|FPP|Entry
31403|rubicundus|rubicundus, rubicunda, rubicundum adj
31404|rubigo|rubigo, rubiginis n
31405|rubinus|rubinus, rubini n
31406|rubius|rubius, rubia, rubium adj
31407|rubor|rubor, ruboris n
31408|rubramentum|rubramentum, rubramenti n
31409|rubrica|rubrica, rubricae n
31410|rubricatus|rubricatus, rubricata, rubricatum adj
31411|rubus|rubus, rubi n
31412|rucheta|rucheta, ruchetae n
31413|ructo|ructo, ructare, ructavi, ructatus v
31414|ructor|ructor, ructari, ructatus v
31415|ructus|ructus, ructus n
31416|rudectus|rudectus, rudecta, rudectum adj
31417|rudens|rudens, rudentis n
31418|rudiarius|rudiarius, rudiari(i) n
31419|rudicula|rudicula, rudiculae n
31420|rudimentum|rudimentum, rudimenti n
31421|rudis|rudis, rudis n
31422|rudis|rudis, rudis n
31423|rudis|rudis, rudis, rude adj
31424|rudo|rudo, rudere, rudivi, ruditus v
31425|rudus|rudus, ruderis n
31426|Rufinus|Rufinus, Rufini n
31427|rufulus|rufulus, rufula, rufulum adj
31428|rufus|rufus, rufa adj
31429|Rufus|Rufus, Rufi n
31430|ruga|ruga, rugae n
31431|rugio|rugio, rugire, rugivi, rugitus v
31432|rugo|rugo, rugare, rugavi, rugatus v
31433|rugosus|rugosus, rugosa, rugosum adj
31434|ruina|ruina, ruinae n
31435|ruinosus|ruinosus, ruinosa, ruinosum adj
31436|rumex|rumex, rumicis n
31437|rumifico|rumifico, rumificare, rumificavi, rumificatus v
31438|ruminalis|ruminalis, ruminalis, ruminale adj
31439|rumino|rumino, ruminare, ruminavi, ruminatus v
31440|ruminor|ruminor, ruminari, ruminatus v
31441|rumor|rumor, rumoris n
31442|rumpia|rumpia, rumpiae n
31443|rumpo|rumpo, rumpere, rupi, ruptus v
31444|rumusculus|rumusculus, rumusculi n
31445|runa|runa, runae n
31446|runcina|runcina, runcinae n
31447|runcino|runcino, runcinare, runcinavi, runcinatus v
31448|runco|runco, runcare, runcavi, runcatus v
31449|ruo|ruo, ruere, rui, rutus v
31450|rupes|rupes, rupis n
31451|ruptor|ruptor, ruptoris n
31452|ruricola|ruricola, ruricolae n
31453|rurigena|rurigena, rurigenae n
31454|ruro|ruro, rurare, ruravi, ruratus v
31455|ruror|ruror, rurari, ruratus v
31456|rursum|rursum adv
31457|rursus|rursus adv
31458|rus|rus, ruris n
31459|rusceus|rusceus, ruscea, rusceum adj
31460|ruscum|ruscum, rusci n
31461|ruscus|ruscus, rusci n
31462|rusi|rusi n
31463|russula|russula, russulae n
31464|russus|russus, russa, russum adj
31465|rustica|rustica, rusticae n
31466|rusticanus|rusticanus, rusticana, rusticanum adj
31467|rusticatio|rusticatio, rusticationis n
31468|rustice|rustice, rusticius, rusticissime adv
31469|rusticitas|rusticitas, rusticitatis n
31470|rusticor|rusticor, rusticari, rusticatus v
31471|rusticulus|rusticulus, rusticula, rusticulum adj
31472|rusticulus|rusticulus, rusticuli n
31473|rusticus|rusticus, rustica, rusticum adj
31474|rusticus|rusticus, rustici n
31475|rustum|rustum, rusti n
31476|ruta|ruta, rutae n
31477|rutabulum|rutabulum, rutabuli n
31478|Rutilius|Rutilius, Rutili n
31479|Rutilius|Rutilius, Rutilia, Rutilium adj
31480|rutilo|rutilo, rutilare, rutilavi, rutilatus v
31481|rutilus|rutilus, rutila, rutilum adj
31482|rutrum|rutrum, rutri n
31483|rutula|rutula, rutulae n
31484|rutunditas|rutunditas, rutunditatis n
31485|rutundo|rutundo, rutundare, rutundavi, rutundatus v
31486|rutundus|rutundus, rutunda adj
31487|rutus|rutus, ruta, rutum adj
31488|rythmicus|rythmicus, rythmica, rythmicum adj
31489||sabacthani, undeclined v
31490|Sabaoth|Sabaoth, undeclined n
31491|sabath|sabath, undeclined n
31492|Sabbaoth|Sabbaoth, undeclined n
31493|sabbataria|sabbataria, sabbatariae n
31494|sabbatismus|sabbatismus, sabbatismi n
31495|sabbatizo|sabbatizo, sabbatizare, sabbatizavi, sabbatizatus v
31496|sabbatum|sabbatum, sabbati n
31497|Sabine|Sabine adv
31498|Sabinus|Sabinus, Sabina, Sabinum adj
31499|Sabinus|Sabinus, Sabini n
31500|sabucus|sabucus, sabuci n
31501|sabulum|sabulum, sabuli n
31502|saburra|saburra, saburrae n
31503|saccatum|saccatum, saccati n
31504|saccharatus|saccharatus, saccharata, saccharatum adj
31505|saccharinum|saccharinum, saccharini n
31506|saccharum|saccharum, sacchari n
31507|sacciperium|sacciperium, sacciperii n
31508|sacco|sacco, saccare, saccavi, saccatus v
31509|sacculus|sacculus, sacculi n
31510|saccus|saccus, sacci n
31511|sacellum|sacellum, sacelli n
31512|sacer|sacer, sacra, sacrum adj
31513|sacerdos|sacerdos, sacerdotis n
31514|sacerdotalis|sacerdotalis, sacerdotalis n
31515|sacerdotalis|sacerdotalis, sacerdotalis, sacerdotale adj
31516|sacerdotialis|sacerdotialis, sacerdotialis, sacerdotiale adj
31517|sacerdotium|sacerdotium, sacerdoti(i) n
31518|sacoma|sacoma, sacomatis n
31519|sacopenium|sacopenium, sacopenii n
31520|sacramentarium|sacramentarium, sacramentarii n
31521|sacramentum|sacramentum, sacramenti n
31522|sacrarium|sacrarium, sacrari(i) n
31523|sacratus|sacratus, sacrata, sacratum adj
31524|sacricola|sacricola, sacricolae n
31525|sacrifer|sacrifer, sacrifera, sacriferum adj
31526|sacrificium|sacrificium, sacrifici(i) n
31527|sacrifico|sacrifico, sacrificare, sacrificavi, sacrificatus v
31528|sacrificulus|sacrificulus, sacrificuli n
31529|sacrificum|sacrificum, sacrifici n
31530|sacrificus|sacrificus, sacrifica, sacrificum adj
31531|sacrificus|sacrificus, sacrifici n
31532|sacrilegium|sacrilegium, sacrilegi(i) n
31533|sacrilegus|sacrilegus, sacrilega, sacrilegum adj
31534|sacrilegus|sacrilegus, sacrilegi n
31535|sacrista|sacrista, sacristae n
31536|sacristanus|sacristanus, sacristani n
31537|sacristia|sacristia, sacristiae n
31538|sacro|sacro, sacrare, sacravi, sacratus v
31539|sacrosanctus|sacrosanctus, sacrosancta, sacrosanctum adj
31540|sacrum|sacrum, sacri n
31541|sade|sade, undeclined n
31542|saeclaris|saeclaris, saeclaris, saeclare adj
31543|saeclum|saeclum, saecli n
31544|saecularis|saecularis, saecularis, saeculare adj
31545|saecularis|saecularis, saecularis, saeculare adj
31546|saeculum|saeculum, saeculi n
31547|saeculum|saeculum, saeculi n
31548|saeculum|saeculum, saeculi n
31549|saepe|saepe, saepius, saepissime adv
31550|saepenumero|saepenumero adv
31551|saepes|saepes, saepis n
31552|saepicule|saepicule adv
31553|saepimentum|saepimentum, saepimenti n
31554|saepio|saepio, saepire, saepsi, saeptus v
31555|saepio|saepio, saepire, saepsi, saeptus v
31556|saeps|saeps, saepis n
31557|saeptum|saeptum, saepti n
31558|saeta|saeta, saetae n
31559|saetiger|saetiger, saetigera, saetigerum adj
31560|saetosus|saetosus, saetosa, saetosum adj
31561|saevidicus|saevidicus, saevidica, saevidicum adj
31562|saevio|saevio, saevire, saevivi, saevitus v
31563|saevitia|saevitia, saevitiae n
31564|saevus|saevus, saeva adj
31565|saffranum|saffranum, saffrani n
31566|saga|saga, sagae n
31567|sagacitas|sagacitas, sagacitatis n
31568|sagapenon|sagapenon, sagapeni n
31569|sagatus|sagatus, sagata, sagatum adj
31570|sagax|sagax, (gen.), sagacis adj
31571|sagena|sagena, sagenae n
31572|sagino|sagino, saginare, saginavi, saginatus v
31573|sagitta|sagitta, sagittae n
31574|sagittarius|sagittarius, sagittari(i) n
31575|sagittarius|sagittarius, sagittaria, sagittarium adj
31576|sagittatio|sagittatio, sagittationis n
31577|sagittatus|sagittatus, sagittata, sagittatum adj
31578|sagittifer|sagittifer, sagittifera, sagittiferum adj
31579|sagitto|sagitto, sagittare, sagittavi, sagittatus v
31580|sagma|sagma, sagmae n
31581|sagmen|sagmen, sagminis n
31582|sagulum|sagulum, saguli n
31583|sagum|sagum, sagi n
31584|sagus|sagus, saga, sagum adj
31585|saisimentum|saisimentum, saisimenti n
31586|sal|sal, salis n
31587|salacaccabium|salacaccabium, salacaccabii n
31588|salaco|salaco, salaconis n
31589|salaputium|salaputium, salaputii n
31590|salariarius|salariarius, salariarii n
31591|salarium|salarium, salari(i) n
31592|salarius|salarius, salaria, salarium adj
31593|salax|salax, (gen.), salacis adj
31594|salebra|salebra, salebrae n
31595|salebrosus|salebrosus, salebrosa, salebrosum adj
31596|salgamum|salgamum, salgami n
31597|saliaris|saliaris, saliaris, saliare adj
31598|salictum|salictum, salicti n
31599|saliens|saliens, salientis n
31600|saligneus|saligneus, salignea, saligneum adj
31601|salignus|salignus, saligna, salignum adj
31602|salillum|salillum, salilli n
31603|salina|salina, salinae n
31604|salinum|salinum, salini n
31605|salio|salio, salire, salivi, salitus v
31606|salio|salio, salire, salivi, saltus v
31607|salio|salio, salire, salivi, saltus v
31608|salio|salio, salire, salui, saltus v
31609|salio|salio, salire, salui, saltus v
31610|saliunca|saliunca, saliuncae n
31611|saliva|saliva, salivae n
31612|salix|salix, salicis n
31613|sallio|sallio, sallire, sallivi, sallitus v
31614|sallo|sallo, sallere, -, sallsus v
31615|salmoneus|salmoneus, salmonea, salmoneum adj
31616|salo|salo, salere, -, salsus v
31617|Salomon|Salomon, Salomonis n
31618|salpa|salpa, salpae n
31619|salsamentum|salsamentum, salsamenti n
31620|salsedo|salsedo, salsedinis n
31621|salsugo|salsugo, salsuginis n
31622|salsum|salsum, salsi n
31623|salsura|salsura, salsurae n
31624|salsus|salsus, salsa adj
31625|saltatio|saltatio, saltationis n
31626|saltatiuncula|saltatiuncula, saltatiunculae n
31627|saltator|saltator, saltatoris n
31628|saltatorius|saltatorius, saltatoria, saltatorium adj
31629|saltatricula|saltatricula, saltatriculae n
31630|saltatrix|saltatrix, saltatricis n
31631|saltatus|saltatus, saltatus n
31632|saltem|saltem adv
31633|saltim|saltim adv
31634|saltito|saltito, saltitare, saltitavi, saltitatus v
31635|salto|salto, saltare, saltavi, saltatus v
31636|saltuosus|saltuosus, saltuosa, saltuosum adj
31637|saltus|saltus, saltus n
31638|saltus|saltus, saltus n
31639|saluber|saluber, salubris adj
31640|salubritas|salubritas, salubritatis n
31641|salubriter|salubriter, salubrius, salubrissime adv
31642|salum|salum, sali n
31643|salus|salus, salutis n
31644|salutare|salutare, salutaris n
31645|salutaris|salutaris, salutare, salutarior adj
31646|salutaris|salutaris, salutaris, salutare adj
31647|salutatio|salutatio, salutationis n
31648|salutator|salutator, salutatoris n
31649|salutatrix|salutatrix, salutatricis n
31650|salutifer|salutifer, salutifera, salutiferum adj
31651|salutificator|salutificator, salutificatoris n
31652|salutigerulus|salutigerulus, salutigerula, salutigerulum adj
31653|saluto|saluto, salutare, salutavi, salutatus v
31654|salvatio|salvatio, salvationis n
31655|salvator|salvator, salvatoris n
31656|salve|salve adv
31657|salveo|salveo, salvere, -, - v
31658|salvia|salvia, salviae n
31659|salvifico|salvifico, salvificare, salvificavi, salvificatus v
31660|salvificus|salvificus, salvifica, salvificum adj
31661|salvo|salvo, salvare, salvavi, salvatus v
31662|salvus|salvus, salva, salvum adj
31663|Samaria|Samaria, Samariae n
31664|Samaritanus|Samaritanus, Samaritana, Samaritanum adj
31665|Samarites|Samarites, Samaritae n
31666|Samariticus|Samariticus, Samaritica, Samariticum adj
31667|Samaritis|Samaritis, Samaritidis n
31668|sambuca|sambuca, sambucae n
31669|sambucistria|sambucistria, sambucistriae n
31670|sambucus|sambucus, sambuci n
31671|samech|samech, undeclined n
31672|samera|samera, samerae n
31673|Samius|Samius, Samia, Samium adj
31674|sampsuchum|sampsuchum, sampsuchi n
31675|sampsucum|sampsucum, sampsuci n
31676|sanabilis|sanabilis, sanabilis, sanabile adj
31677|sanatorium|sanatorium, sanatorii n
31678|sancio|sancio, sancire, sanxi, sanctus v
31679|sanctificatio|sanctificatio, sanctificationis n
31680|sanctifico|sanctifico, sanctificare, sanctificavi, sanctificatus v
31681|sanctimonia|sanctimonia, sanctimoniae n
31682|sanctimonialis|sanctimonialis, sanctimonialis n
31683|sanctimonialis|sanctimonialis, sanctimonialis, sanctimoniale adj
31684|sanctio|sanctio, sanctionis n
31685|sanctitas|sanctitas, sanctitatis n
31686|sanctitudo|sanctitudo, sanctitudinis n
31687|sanctor|sanctor, sanctoris n
31688|sanctuarium|sanctuarium, sanctuari(i) n
31689|sanctus|sanctus, sancta adj
31690|sanctus|sanctus, sancti n
31691|sandaliarius|sandaliarius, sandaliaria, sandaliarium adj
31692|sandaligerula|sandaligerula, sandaligerulae n
31693|sandalium|sandalium, sandalii n
31694|sandapila|sandapila, sandapilae n
31695|sandyx|sandyx, sandycis n
31696|sane|sane adv
31697|sanesco|sanesco, sanescere, -, - v
31698|sanguinans|sanguinans, (gen.), sanguinantis adj
31699|sanguinarius|sanguinarius, sanguinaria, sanguinarium adj
31700|sanguineus|sanguineus, sanguinea, sanguineum adj
31701|sanguinolentus|sanguinolentus, sanguinolenta, sanguinolentum adj
31702|sanguinulentus|sanguinulentus, sanguinulenta, sanguinulentum adj
31703|sanguis|sanguis, sanguinis n
31704|sanguisuga|sanguisuga, sanguisugae n
31705|sanies|sanies, saniei n
31706|sanitarius|sanitarius, sanitaria, sanitarium adj
31707|sanitas|sanitas, sanitatis n
31708|sanna|sanna, sannae n
31709|sannio|sannio, sannionis n
31710|sano|sano, sanare, sanavi, sanatus v
31711|sanqualis|sanqualis, sanqualis, sanquale adj
31712|sanus|sanus, sana, sanum adj
31713|sapa|sapa, sapae n
31714|sapidus|sapidus, sapida, sapidum adj
31715|sapiencia|sapiencia, sapienciae n
31716|sapiencia|sapiencia, sapienciae n
31717|sapiens|sapiens, sapientis n
31718|sapiens|sapiens, sapientis adj
31719|sapienter|sapienter adv
31720|sapientia|sapientia, sapientiae n
31721|sapientia|sapientia, sapientiae n
31722|sapineus|sapineus, sapinea, sapineum adj
31723|sapinus|sapinus, sapini n
31724|sapio|sapio, sapere, sapivi, - v
31725|sapo|sapo, saponis n
31726|saponatum|saponatum, saponati n
31727|sapor|sapor, saporis n
31728|sapphir|sapphir, sapphiri n
31729|sapphirus|sapphirus, sapphiri n
31730|sapphyrus|sapphyrus, sapphyri n
31731|sappir|sappir, sappiri n
31732|sappirus|sappirus, sappiri n
31733|sarabala|sarabala, sarabalae n
31734|saraballa|saraballa, saraballae n
31735|saraballum|saraballum, saraballi n
31736|sarabalum|sarabalum, sarabali n
31737|sarabara|sarabara, sarabarae n
31738|sarabarum|sarabarum, sarabari n
31739|sarcasmos|sarcasmos, sarcasmi n
31740|sarcina|sarcina, sarcinae n
31741|sarcinarius|sarcinarius, sarcinaria, sarcinarium adj
31742|sarcinator|sarcinator, sarcinatoris n
31743|sarcinula|sarcinula, sarcinulae n
31744|sarcio|sarcio, sarcire, sarsi, sartus v
31745|sarcophagus|sarcophagus, sarcophagi n
31746|sarculum|sarculum, sarculi n
31747|sardina|sardina, sardinae n
31748|Sardinia|Sardinia, Sardiniae n
31749|sardinus|sardinus, sardina, sardinum adj
31750|sardius|sardius, sardia, sardium adj
31751|sardius|sardius, sardii n
31752|sardonichus|sardonichus, sardonicha, sardonichum adj
31753|sardonicus|sardonicus, sardonici n
31754|Sardonius|Sardonius, Sardonia, Sardonium adj
31755|sardonyx|sardonyx, sardonychos/is n
31756|Sardus|Sardus, Sarda, Sardum adj
31757|Sardus|Sardus, Sardi n
31758|sargus|sargus, sargi n
31759|sario|sario, sarire, sarivi, saritus v
31760|sarisa|sarisa, sarisae n
31761|sarisophorus|sarisophorus, sarisophori n
31762|Sarmata|Sarmata, Sarmatae n
31763|Sarmaticus|Sarmaticus, Sarmatica, Sarmaticum adj
31764|sarmentum|sarmentum, sarmenti n
31765|sarracum|sarracum, sarraci n
31766|sarrio|sarrio, sarrire, sarrivi, sarritus v
31767|sarrio|sarrio, sarrire, sarrui, sarritus v
31768|sarritor|sarritor, sarritoris n
31769|sartago|sartago, sartaginis n
31770|sartio|sartio, sartionis n
31771|sartor|sartor, sartoris n
31772|sat|sat adv
31773|sat|sat, undeclined adj
31774|satago|satago, satagere, sategi, satactus v
31775|Satan|Satan, undeclined n
31776|Satanas|Satanas, Satanae n
31777|satanicus|satanicus, satanica, satanicum adj
31778|satanismus|satanismus, satanismi n
31779|satelles|satelles, satellitis n
31780|satelles|satelles, satellitis n
31781|satellitium|satellitium, satellitii n
31782|satias|satias, satiatis n
31783|satietas|satietas, satietatis n
31784|satio|satio, satiare, satiavi, satiatus v
31785|satio|satio, sationis n
31786|satis|satis adv
31787|satis|satis, undeclined adj
31788|satisdatio|satisdatio, satisdationis n
31789|satisfacio|satisfacio, satisfacere, satisfeci, satisfactus v
31790|satisfacio|satisfacio, satisfacere, satisfeci, satisfactus v
31791|satisfactio|satisfactio, satisfactionis n
31792|satisfio|satisfio, satisferi, satisfactus v
31793|satius|satius adv
31794|satius|satius, undeclined adj
31795|sativus|sativus, sativa, sativum adj
31796|sator|sator, satoris n
31797|satrapa|satrapa, satrapae n
31798|satrapes|satrapes, satrapis n
31799|satraps|satraps, satrapis n
31800|satur|satur, satura, saturum adj
31801|satura|satura, saturae n
31802|satureia|satureia, satureiae n
31803|satureium|satureium, satureii n
31804|saturitas|saturitas, saturitatis n
31805|saturitas|saturitas, saturitatis n
31806|Saturnali|Saturnali, Saturnaliis n
31807|Saturnalium|Saturnalium, Saturnalii n
31808|Saturninus|Saturninus, Saturnini n
31809|saturo|saturo, saturare, saturavi, saturatus v
31810|satus|satus, sata, satum adj
31811|satyrion|satyrion, satyrii n
31812|satyriscus|satyriscus, satyrisci n
31813|satyrus|satyrus, satyri n
31814|sauciatio|sauciatio, sauciationis n
31815|saucio|saucio, sauciare, sauciavi, sauciatus v
31816|saucius|saucius, saucia, saucium adj
31817|Saul|Saul, Saulis n
31818|Saul|Saul, undeclined n
31819|Saulus|Saulus, Sauli n
31820|sauna|sauna, saunae n
31821|saviatio|saviatio, saviationis n
31822|saviolum|saviolum, savioli n
31823|savior|savior, saviari, saviatus v
31824|savium|savium, savi(i) n
31825|saxetum|saxetum, saxeti n
31826|saxeus|saxeus, saxea, saxeum adj
31827|saxificus|saxificus, saxifica, saxificum adj
31828|saxophonum|saxophonum, saxophoni n
31829|saxosus|saxosus, saxosa, saxosum adj
31830|saxulum|saxulum, saxuli n
31831|saxum|saxum, saxi n
31832|scabellum|scabellum, scabelli n
31833|scaber|scaber, scabra adj
31834|scabies|scabies, scabiei n
31835|scabillum|scabillum, scabilli n
31836|scabinus|scabinus, scabini n
31837|scabiosus|scabiosus, scabiosa, scabiosum adj
31838|scabo|scabo, scabere, scabi, - v
31839|scabritia|scabritia, scabritiae n
31840|scabrities|scabrities, scabritiae n
31841|scabrosus|scabrosus, scabrosa, scabrosum adj
31842|scaccarium|scaccarium, scaccarii n
31843|scaciludium|scaciludium, scaciludii n
31844|scacus|scacus, scaci n
31845|scaena|scaena, scaenae n
31846|scaenalis|scaenalis, scaenalis, scaenale adj
31847|scaenarium|scaenarium, scaenarii n
31848|scaenicus|scaenicus, scaenica, scaenicum adj
31849|scaenicus|scaenicus, scaenici n
31850|scaevus|scaevus, scaeva, scaevum adj
31851|scala|scala, scalae n
31852|scalmus|scalmus, scalmi n
31853|scalpellum|scalpellum, scalpelli n
31854|scalpellus|scalpellus, scalpelli n
31855|scalper|scalper, scalpri n
31856|scalpo|scalpo, scalpere, scalpsi, scalptus v
31857|scalpratus|scalpratus, scalprata, scalpratum adj
31858|scalprum|scalprum, scalpri n
31859|scamillus|scamillus, scamilli n
31860|scammonea|scammonea, scammoneae n
31861|scammonia|scammonia, scammoniae n
31862|scamnum|scamnum, scamni n
31863|scamonia|scamonia, scamoniae n
31864|scandalizo|scandalizo, scandalizare, scandalizavi, scandalizatus v
31865|scandalose|scandalose adv
31866|scandalosus|scandalosus, scandalosa, scandalosum adj
31867|scandalum|scandalum, scandali n
31868|scandix|scandix, scandicis n
31869|scando|scando, scandere, scandi, scansus v
31870|scandula|scandula, scandulae n
31871|scapha|scapha, scaphae n
31872|scaphium|scaphium, scaphii n
31873|scapula|scapula, scapulae n
31874|scapulare|scapulare, scapularis n
31875|scapulare|scapulare, scapularis n
31876|scapularium|scapularium, scapularii n
31877|scapus|scapus, scapi n
31878|scarabeus|scarabeus, scarabei n
31879|scariphatio|scariphatio, scariphationis n
31880|scaripho|scaripho, scariphare, scariphavi, scariphatus v
31881|scarpus|scarpus, scarpi n
31882|scatebra|scatebra, scatebrae n
31883|scateo|scateo, scatere, -, - v
31884|scato|scato, scatere, -, - v
31885|scaturigo|scaturigo, scaturiginis n
31886|scaturrio|scaturrio, scaturrire, -, - v
31887|scaurus|scaurus, scaura, scaurum adj
31888|scazon|scazon, scazontis n
31889|sceleratus|sceleratus, scelerata adj
31890|sceleratus|sceleratus, scelerati n
31891|scelero|scelero, scelerare, sceleravi, sceleratus v
31892|scelerosus|scelerosus, scelerosa, scelerosum adj
31893|scelestus|scelestus, scelesta, scelestum adj
31894|scellinus|scellinus, scellini n
31895|scelus|scelus, sceleris n
31896|scena|scena, scenae n
31897|scenofactorius|scenofactorius, scenofactoria, scenofactorium adj
31898|scenopegia|scenopegia, scenopegiae n
31899|scenophegia|scenophegia, scenophegiae n
31900|scepticismus|scepticismus, scepticismi n
31901|scepticus|scepticus, sceptica, scepticum adj
31902|sceptrifer|sceptrifer, sceptrifera, sceptriferum adj
31903|sceptrum|sceptrum, sceptri n
31904|sceptuchus|sceptuchus, sceptuchi n
31905|scheda|scheda, schedae n
31906|schedinummus|schedinummus, schedinummi n
31907|schedula|schedula, schedulae n
31908|schema|schema, schemae n
31909|schema|schema, schematis n
31910|schematismos|schematismos, schematismi n
31911|schematismus|schematismus, schematismi n
31912|schisma|schisma, schismatis n
31913|schismaticus|schismaticus, schismatica, schismaticum adj
31914|schismaticus|schismaticus, schismatici n
31915|schoenicula|schoenicula, schoeniculae n
31916|schoenobates|schoenobates, schoenobatae n
31917|schoenus|schoenus, schoeni n
31918|schola|schola, scholae n
31919|scholaris|scholaris, scholaris n
31920|scholaris|scholaris, scholaris, scholare adj
31921|scholarus|scholarus, scholara, scholarum adj
31922|scholastica|scholastica, scholasticae n
31923|scholasticus|scholasticus, scholastica, scholasticum adj
31924|scholasticus|scholasticus, scholastici n
31925|scholicus|scholicus, scholica, scholicum adj
31926|scholium|scholium, scholii n
31927|scibilis|scibilis, scibilis, scibile adj
31928|scida|scida, scidae n
31929|sciens|sciens, scientis adj
31930|scienter|scienter, scientius, scientissime adv
31931|scientia|scientia, scientiae n
31932|scientificus|scientificus, scientifica, scientificum adj
31933|scilicet|scilicet adv
31934|scilla|scilla, scillae n
31935|scindo|scindo, scindere, scicidi, scisus v
31936|scindo|scindo, scindere, scidi, scissus v
31937|scinifes|scinifes, scinifos/is n
31938|sciniphes|sciniphes, sciniphos/is n
31939|scintilla|scintilla, scintillae n
31940|scintillo|scintillo, scintillare, scintillavi, scintillatus v
31941|scintillula|scintillula, scintillulae n
31942|scinus|scinus, scini n
31943|scio|scio, scire, scivi(ii), scitus v
31944|scio|scio, scire, scivi, scitus v
31945|sciolus|sciolus, scioli n
31946|sciphus|sciphus, sciphi n
31947|scipio|scipio, scipionis n
31948|Scipio|Scipio, Scipionis n
31949|scipus|scipus, scipi n
31950|scirpea|scirpea, scirpeae n
31951|scirpia|scirpia, scirpiae n
31952|scirpiculus|scirpiculus, scirpicula, scirpiculum adj
31953|scirpiculus|scirpiculus, scirpiculi n
31954|scirpo|scirpo, scirpare, scirpavi, scirpatus v
31955|scirpus|scirpus, scirpa, scirpum adj
31956|scirpus|scirpus, scirpi n
31957|scirros|scirros, scirri n
31958|scirto|scirto, scirtare, scirtavi, scirtatus v
31959|sciscitor|sciscitor, sciscitari, sciscitatus v
31960|scisco|scisco, sciscere, scivi, scitus v
31961|scisma|scisma, scismatis n
31962|scissilis|scissilis, scissilis, scissile adj
31963|scissor|scissor, scissoris n
31964|scissura|scissura, scissurae n
31965|scitamentum|scitamentum, scitamenti n
31966|scitor|scitor, scitari, scitatus v
31967|scitulus|scitulus, scitula, scitulum adj
31968|scitum|scitum, sciti n
31969|scitus|scitus, scita, scitum adj
31970|scitus|scitus, scitus n
31971|sciurus|sciurus, sciuri n
31972|scius|scius, scia, scium adj
31973|sclodia|sclodia, sclodiae n
31974|sclopeto|sclopeto, sclopetare, sclopetavi, sclopetatus v
31975|sclopetum|sclopetum, sclopeti n
31976|scobis|scobis, scobis n
31977|scobo|scobo, scobere, -, - v
31978|scola|scola, scolae n
31979|scolastica|scolastica, scolasticae n
31980|scolasticus|scolasticus, scolastica, scolasticum adj
31981|scolasticus|scolasticus, scolastici n
31982|scolymos|scolymos, scolymi n
31983|scomber|scomber, scombri n
31984|scopa|scopa, scopae n
31985|scopo|scopo, scopare, scopavi, scopatus v
31986|scopo|scopo, scopere, -, - v
31987|scopulosus|scopulosus, scopulosa, scopulosum adj
31988|scopulus|scopulus, scopuli n
31989|scorbutus|scorbutus, scorbuti n
31990|scoria|scoria, scoriae n
31991|scorpio|scorpio, scorpionis n
31992|scorpion|scorpion, scorpii n
31993|scorpios|scorpios, scorpii n
31994|scorpius|scorpius, scorpii n
31995|scortator|scortator, scortatoris n
31996|scorteum|scorteum, scortei n
31997|scorteus|scorteus, scortea, scorteum adj
31998|scortillum|scortillum, scortilli n
31999|scortor|scortor, scortari, - v
32000|scortum|scortum, scorti n
32001|Scotia|Scotia, Scotiae n
32002|Scotus|Scotus, Scoti n
32003|screator|screator, screatoris n
32004|screatus|screatus, screatus n
32005|screo|screo, screare, screavi, screatus v
32006|scriba|scriba, scribae n
32007|scriblita|scriblita, scriblitae n
32008|scribo|scribo, scribere, scripsi, scriptus v
32009|scribtus|scribtus, scribta, scribtum adj
32010|scrinium|scrinium, scrini(i) n
32011|scriptito|scriptito, scriptitare, scriptitavi, scriptitatus v
32012|scripto|scripto, scriptare, scriptavi, scriptatus v
32013|scriptor|scriptor, scriptoris n
32014|scriptorius|scriptorius, scriptoria, scriptorium adj
32015|scriptulum|scriptulum, scriptuli n
32016|scriptum|scriptum, scripti n
32017|scriptura|scriptura, scripturae n
32018|scriptus|scriptus, scriptus n
32019|scripula|scripula, scripulae n
32020|scripulatim|scripulatim adv
32021|scripulum|scripulum, scripuli n
32022|scrobis|scrobis, scrobis n
32023|scrofa|scrofa, scrofae n
32024|scrofinus|scrofinus, scrofina, scrofinum adj
32025|scrofipascus|scrofipascus, scrofipasca, scrofipascum adj
32026|scrofipascus|scrofipascus, scrofipasci n
32027|scrotum|scrotum, scroti n
32028|scrupeda|scrupeda, scrupedae n
32029|scrupeus|scrupeus, scrupea, scrupeum adj
32030|scruposus|scruposus, scruposa, scruposum adj
32031|scrupula|scrupula, scrupulae n
32032|scrupulositas|scrupulositas, scrupulositatis n
32033|scrupulosus|scrupulosus, scrupulosa, scrupulosum adj
32034|scrupulum|scrupulum, scrupuli n
32035|scrupulus|scrupulus, scrupuli n
32036|scrupus|scrupus, scrupi n
32037|scrupus|scrupus, scrupi n
32038|scruta|scruta, scrutae n
32039|scrutabilis|scrutabilis, scrutabilis, scrutabile adj
32040|scrutamen|scrutamen, scrutaminis n
32041|scrutaria|scrutaria, scrutariae n
32042|scrutarius|scrutarius, scrutari(i) n
32043|scrutatio|scrutatio, scrutationis n
32044|scrutillus|scrutillus, scrutilli n
32045|scrutinium|scrutinium, scrutini(i) n
32046|scrutino|scrutino, scrutinare, scrutinavi, scrutinatus v
32047|scrutinor|scrutinor, scrutinari, scrutinatus v
32048|scruto|scruto, scrutare, scrutavi, scrutatus v
32049|scrutor|scrutor, scrutari, scrutatus v
32050|scrutor|scrutor, scrutoris n
32051|scrutum|scrutum, scruti n
