|FPP|Entry
17552|dictamen|dictamen, dictaminis n
17553|dictamnos|dictamnos, dictamni n
17554|dictamnum|dictamnum, dictamni n
17555|dictamnus|dictamnus, dictamni n
17556|dictatio|dictatio, dictationis n
17557|dictatiuncula|dictatiuncula, dictatiunculae n
17558|dictator|dictator, dictatoris n
17559|dictatorius|dictatorius, dictatoria, dictatorium adj
17560|dictatorius|dictatorius, dictatorii n
17561|dictatrix|dictatrix, dictatricis n
17562|dictatum|dictatum, dictati n
17563|dictatura|dictatura, dictaturae n
17564|dicterium|dicterium, dicterii n
17565|dicticos|dicticos, dicticos, dicticon adj
17566|dictio|dictio, dictionis n
17567|dictio|dictio, dictionis n
17568|dictionarium|dictionarium, dictionarii n
17569|dictiosus|dictiosus, dictiosa, dictiosum adj
17570|dictito|dictito, dictitare, dictitavi, dictitatus v
17571|dicto|dicto, dictare, dictavi, dictatus v
17572|dicto|dicto, dictare, dictavi, dictatus v
17573|dictophonum|dictophonum, dictophoni n
17574|dictor|dictor, dictoris n
17575|dictum|dictum, dicti n
17576|dicturio|dicturio, dicturire, -, - v
17577|dictus|dictus, dictus n
17578|didacticus|didacticus, didactica, didacticum adj
17579|didascalicus|didascalicus, didascalica, didascalicum adj
17580|didascalus|didascalus, didascali n
17581|didascolus|didascolus, didascoli n
17582|didasculatus|didasculatus, didasculati n
